gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,No,13,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),45.7,569.57,No
Male,0,Yes,No,15,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),87.58,1279.8,No
Female,0,No,No,7,No,No phone service,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,71.84,449.59,No
Female,1,Yes,No,6,No,No phone service,DSL,Yes,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),42.37,260.41,No
Female,0,No,Yes,4,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,95.68,434.15,No
Male,1,No,No,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,30.71,1224.79,No
Male,1,Yes,No,14,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),50.58,718.71,No
Female,0,No,No,26,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,47.39,1250.23,Yes
Male,0,No,No,17,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),80.02,1362.81,No
Female,0,Yes,No,6,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),81.54,500.9,No
Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,574.84,Yes
Male,0,Yes,No,53,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed check,45.04,2388.09,No
Female,1,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,77.5,193.95,No
Female,0,No,No,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,182.04,No
Male,0,Yes,No,36,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),84.44,3024.55,No
Female,0,Yes,No,35,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),51.97,1803.14,No
Male,0,Yes,Yes,19,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),92.16,1745.33,No
Female,0,No,No,40,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,720.89,No
Female,1,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.96,164.79,No
Female,0,Yes,Yes,39,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Mailed check,82.28,3235.44,No
Female,0,Yes,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),83.5,3598.21,No
Female,0,No,Yes,31,Yes,Yes,DSL,No,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),51.13,1602.11,No
Female,0,Yes,No,19,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,90.11,1712.94,Yes
Male,0,Yes,No,27,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),68.77,1836.72,No
Female,0,Yes,Yes,2,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,59.23,148.04,Yes
Female,0,No,Yes,7,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,86.4,580.82,No
Female,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.2,138.26,No
Female,1,No,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Mailed check,54.55,543.97,No
Female,0,No,Yes,4,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),85.42,338.6,No
Male,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),88.1,883.57,Yes
Female,0,No,No,11,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),52.61,613.21,No
Male,1,Yes,No,11,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,52.38,571.04,Yes
Male,0,Yes,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.76,59.13,No
Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Mailed check,88.01,1152.68,Yes
Female,0,Yes,No,14,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),81.28,1172.99,No
Female,0,No,Yes,37,No,No phone service,DSL,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,56.8,2120.43,No
Male,0,No,No,34,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,88.24,3002.76,No
Female,0,Yes,No,24,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,86.14,2065.11,No
Male,0,No,No,22,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,58.26,1300.22,No
Male,0,No,Yes,18,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),100.4,1781.38,No
Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,78.59,1798.58,No
Male,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),98.14,4495.17,No
Male,0,No,Yes,72,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Electronic check,85.22,6169.75,Yes
Female,0,Yes,No,30,No,No phone service,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Electronic check,104.66,3183.33,No
Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,71.52,243.24,No
Female,0,Yes,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),25.56,302.01,Yes
Male,0,Yes,No,6,No,No phone service,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,85.71,482.06,Yes
Male,0,Yes,Yes,14,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,80.91,1136.11,Yes
Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,23.22,No
Female,1,No,Yes,18,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),67.79,1219.9,Yes
Male,1,No,No,18,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),81.7,1473.24,No
Female,0,Yes,No,21,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.63,629.43,Yes
Female,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.51,217.61,No
Male,0,Yes,Yes,5,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,65.17,333.2,Yes
Female,0,Yes,No,19,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),46.48,911.02,No
Female,0,No,No,34,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Mailed check,56.95,1942.99,No
Male,1,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,205.21,Yes
Female,1,No,No,26,Yes,No,DSL,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),52.43,1340.57,Yes
Female,0,Yes,No,5,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),60.24,310.0,Yes
Female,0,No,No,20,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,72.18,1459.46,Yes
Female,0,No,No,56,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Two year,Yes,Electronic check,64.63,3627.77,No
Male,0,No,No,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.0,441.61,No
Male,0,No,Yes,7,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,94.53,698.77,No
Female,1,No,No,8,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,72.46,584.13,Yes
Female,1,No,No,34,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,55.37,1880.15,Yes
Female,0,Yes,No,1,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,57.38,83.67,No
Male,0,Yes,No,9,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,53.29,480.32,Yes
Male,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.0,464.43,No
Male,0,Yes,Yes,4,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Mailed check,83.0,348.46,Yes
Female,0,No,No,17,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),79.98,1343.09,Yes
Female,0,Yes,No,33,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,53.64,1737.45,No
Female,0,No,Yes,22,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),94.52,2097.15,Yes
Male,0,Yes,Yes,51,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,96.65,4967.13,No
Female,0,No,Yes,1,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,57.03,97.39,Yes
Male,0,Yes,No,9,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Credit card (automatic),55.86,489.95,No
Male,0,Yes,No,51,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),60.66,3091.05,Yes
Female,0,No,Yes,28,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.61,1603.94,No
Female,0,Yes,No,19,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),56.04,1061.04,No
Female,0,Yes,No,32,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,77.14,2529.38,No
Female,0,No,No,33,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),90.52,2976.36,No
Female,0,No,No,31,Yes,No,DSL,No,No,No,Yes,No,Yes,One year,No,Mailed check,55.72,1767.17,No
Male,0,Yes,No,12,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,61.5,710.49,No
Female,0,No,No,14,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),47.98,676.42,Yes
Female,0,Yes,No,7,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),81.96,576.96,No
Male,0,Yes,No,5,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,49.67,269.05,No
Male,0,No,No,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,315.83,No
Female,0,Yes,No,10,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.85,820.8,No
Male,0,Yes,No,12,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,56.88,713.65,No
Male,0,Yes,No,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.0,989.35,No
Male,0,No,Yes,6,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),70.53,403.08,No
Male,1,No,No,24,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),51.54,1224.99,Yes
Female,1,Yes,Yes,5,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,57.6,264.13,No
Male,0,No,Yes,14,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.94,1043.63,No
Female,0,No,No,7,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),20.03,138.46,No
Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),95.86,1073.48,Yes
Male,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,104.76,309.27,Yes
Female,0,Yes,No,7,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,91.33,614.13,No
Female,0,Yes,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.15,142.4,Yes
Male,1,Yes,No,27,No,No phone service,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.29,2404.98,No
Male,0,Yes,Yes,17,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),69.83,1168.07,No
Female,0,No,Yes,22,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,No,Mailed check,81.63,1806.16,No
Male,1,No,No,29,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),44.8,1291.77,No
Male,0,No,Yes,23,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),44.95,1043.35,Yes
Female,0,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),73.17,2721.2,No
Female,0,Yes,Yes,9,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Credit card (automatic),82.33,748.35,Yes
Female,1,Yes,No,1,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),76.83,66.21,Yes
Male,0,Yes,Yes,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),76.65,307.13,Yes
Female,0,No,No,21,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,No,Electronic check,85.68,1791.12,No
Male,0,No,Yes,22,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,74.43,1660.11,No
Female,0,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),84.79,1282.44,Yes
Male,0,No,Yes,5,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,82.47,379.92,No
Female,0,Yes,Yes,38,Yes,No,DSL,Yes,No,No,No,No,No,One year,No,Bank transfer (automatic),49.94,1915.36,No
Female,0,Yes,Yes,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.83,126.66,No
Male,0,Yes,No,3,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,46.76,95.92,Yes
Female,0,No,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.0,165.33,No
Male,0,Yes,No,18,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,49.73,917.35,Yes
Male,0,Yes,No,4,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),50.07,205.15,Yes
Male,0,No,No,8,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.8,768.46,No
Male,0,Yes,Yes,72,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),55.34,3995.96,No
Female,0,No,No,8,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,87.77,708.84,Yes
Male,0,Yes,No,9,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),54.83,505.0,Yes
Male,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.75,170.88,Yes
Female,0,Yes,Yes,12,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),66.9,823.74,Yes
Female,0,No,No,12,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,86.7,1042.99,Yes
Male,0,No,Yes,21,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,56.38,1188.71,Yes
Female,0,Yes,Yes,42,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Bank transfer (automatic),59.82,2539.79,No
Male,1,No,No,40,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,Yes,Mailed check,81.65,3284.18,No
Male,0,No,Yes,18,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,105.65,1911.1,No
Male,0,No,No,24,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Electronic check,47.73,1132.62,No
Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),90.08,892.4,No
Female,0,No,No,4,No,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Mailed check,87.03,348.38,Yes
Female,0,Yes,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,24.58,653.85,No
Female,0,Yes,No,5,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),18.0,103.52,No
Male,0,Yes,No,72,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),82.95,5964.98,No
Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.0,96.79,Yes
Female,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,78.8,No
Female,0,No,No,11,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,65.3,749.26,No
Male,0,Yes,No,2,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),72.3,117.76,Yes
Female,1,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),19.81,9.0,No
Male,0,No,Yes,8,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,45.07,381.02,No
Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,91.49,243.38,Yes
Male,0,No,No,5,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),90.73,433.94,No
Female,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.56,36.35,Yes
Male,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,82.44,1505.95,No
Female,1,Yes,No,49,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),85.25,4193.14,No
Male,0,No,Yes,70,No,No phone service,DSL,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),64.49,4532.54,No
Female,0,Yes,No,33,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,89.02,2962.27,No
Female,0,Yes,No,12,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.64,1175.63,Yes
Male,1,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,27.35,457.67,Yes
Female,0,No,No,3,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,91.77,278.98,No
Female,0,Yes,No,42,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Electronic check,50.59,2140.87,No
Female,0,Yes,No,36,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,54.58,1972.89,No
Female,0,No,No,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,26.49,594.78,Yes
Female,0,No,No,39,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Two year,Yes,Electronic check,91.0,3549.99,No
Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,78.33,1177.78,No
Female,0,Yes,Yes,5,No,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,61.34,325.43,Yes
Male,1,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,55.75,841.26,No
Male,1,No,No,27,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,No,Electronic check,62.19,1684.47,No
Female,0,No,No,36,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),91.4,3275.27,No
Male,0,No,No,11,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,90.56,1004.64,No
Male,0,Yes,No,25,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,86.16,2146.28,No
Male,1,No,No,12,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,47.64,582.91,Yes
Female,0,Yes,No,8,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),83.79,667.42,Yes
Female,1,No,No,39,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,82.98,3220.07,No
Female,0,Yes,No,26,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Two year,No,Electronic check,58.06,1505.03,No
Male,0,Yes,No,50,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,90.32,4505.1,No
Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Two year,No,Mailed check,87.09,4781.68,No
Male,0,Yes,No,4,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,87.02,346.19,Yes
Female,1,Yes,No,7,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),69.87,488.3,No
Male,0,No,Yes,8,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,53.3,395.97,No
Female,0,No,No,1,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.41,75.41,No
Male,0,No,No,14,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),65.33,904.63,Yes
Female,1,No,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,19.78,1456.1,No
Male,0,Yes,No,6,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),92.39,564.24,Yes
Male,0,No,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),70.89,1891.41,No
Female,0,Yes,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),27.61,1086.71,No
Female,0,Yes,No,16,No,No phone service,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,55.06,887.4,No
Male,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,27.82,453.35,No
Female,1,Yes,No,42,No,No phone service,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),49.41,2096.91,No
Male,0,No,No,33,Yes,No,DSL,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),69.65,2309.88,No
Male,0,Yes,No,2,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,65.9,177.18,Yes
Male,0,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,88.68,1517.31,No
Female,0,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.0,125.38,No
Female,0,Yes,Yes,55,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,65.02,3590.76,No
Female,1,No,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Mailed check,81.54,1061.98,No
Male,0,Yes,No,31,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Electronic check,84.81,2629.8,No
Female,0,No,No,33,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Mailed check,90.28,2989.26,No
Female,0,No,Yes,28,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),80.3,2231.49,No
Female,0,Yes,No,18,No,No phone service,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,No,Mailed check,89.57,1622.35,Yes
Male,0,No,No,28,Yes,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,75.86,2136.19,No
Female,1,Yes,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,20.0,466.57,No
Male,0,Yes,Yes,8,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,48.75,351.34,No
Male,0,No,No,18,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,No,Electronic check,87.77,1581.89,No
Male,1,No,No,48,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),68.23,3246.7,No
Male,0,Yes,Yes,22,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Electronic check,43.0,920.01,No
Male,0,Yes,No,33,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,54.72,1783.36,No
